Index,Variant,"Region, subregion, country or area *",Type,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Estimates,NORTHERN AFRICA AND WESTERN ASIA,SDG region,  481 520,  490 571,  499 497,  508 326,  517 106,  525 869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Estimates,Northern Africa,Subregion,  223 862,  228 307,  232 793,  237 294,  241 781,  246 233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Estimates,Algeria,Country/Area,  39 728,  40 551,  41 389,  42 228,  43 053,  43 851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Estimates,Egypt,Country/Area,  92 443,  94 447,  96 443,  98 424,  100 388,  102 334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Estimates,Libya,Country/Area,  6 418,  6 492,  6 581,  6 679,  6 777,  6 871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Estimates,Morocco,Country/Area,  34 664,  35 126,  35 581,  36 029,  36 472,  36 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Estimates,Sudan,Country/Area,  38 903,  39 847,  40 813,  41 802,  42 813,  43 849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Estimates,Tunisia,Country/Area,  11 180,  11 304,  11 433,  11 565,  11 695,  11 819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Estimates,Western Sahara,Country/Area,   526,   539,   553,   567,   582,   597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Estimates,Western Asia,Subregion,  257 658,  262 264,  266 704,  271 032,  275 325,  279 637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Estimates,Armenia,Country/Area,  2 926,  2 936,  2 945,  2 952,  2 958,  2 963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Estimates,Azerbaijan,Country/Area,  9 623,  9 736,  9 845,  9 950,  10 048,  10 139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Estimates,Bahrain,Country/Area,  1 372,  1 426,  1 494,  1 569,  1 641,  1 702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Estimates,Cyprus,Country/Area,  1 161,  1 170,  1 180,  1 189,  1 199,  1 207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Estimates,Georgia,Country/Area,  4 024,  4 015,  4 009,  4 003,  3 997,  3 989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
