Index,Variant,"Region,subregion,countryorarea*",Type,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Estimates,Georgia,Country/Area,4024,4015,4009,4003,3997,3989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Estimates,Iraq,Country/Area,35572,36611,37553,38434,39310,40223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Estimates,Israel,Country/Area,7978,8109,8244,8382,8519,8656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Estimates,Jordan,Country/Area,9267,9554,9786,9965,10102,10203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Estimates,Kuwait,Country/Area,3836,3957,4056,4137,4207,4271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Estimates,Lebanon,Country/Area,6533,6714,6819,6859,6856,6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Estimates,Oman,Country/Area,4267,4479,4666,4829,4975,5107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Estimates,Qatar,Country/Area,2566,2654,2725,2782,2832,2881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Estimates,SaudiArabia,Country/Area,31718,32443,33101,33703,34269,34814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Estimates,StateofPalestine,Country/Area,4529,4636,4747,4863,4981,5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Estimates,SyrianArabRepublic,Country/Area,17997,17466,17096,16945,17070,17501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Estimates,Turkey,Country/Area,78529,79828,81116,82340,83430,84339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Estimates,UnitedArabEmirates,Country/Area,9263,9361,9487,9631,9771,9890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Estimates,Yemen,Country/Area,26498,27168,27835,28499,29162,29826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Estimates,CENTRALANDSOUTHERNASIA,SDGregion,1896327,1920243,1944109,1967866,1991424,2014709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Estimates,CentralAsia,Subregion,68480,69673,70867,72052,73212,74339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Estimates,Kazakhstan,Country/Area,17572,17831,18080,18320,18551,18777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Estimates,Kyrgyzstan,Country/Area,5959,6074,6190,6304,6416,6524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Estimates,Tajikistan,Country/Area,8454,8664,8880,9101,9321,9538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Estimates,Turkmenistan,Country/Area,5565,5662,5758,5851,5942,6031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Estimates,Uzbekistan,Country/Area,30930,31442,31960,32476,32982,33469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Estimates,SouthernAsia,Subregion,1827847,1850570,1873241,1895814,1918211,1940370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Estimates,Afghanistan,Country/Area,34414,35383,36296,37172,38042,38928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Estimates,Bangladesh,Country/Area,156256,157977,159685,161377,163046,164689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Estimates,Bhutan,Country/Area,728,737,746,754,763,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Estimates,India,Country/Area,1310152,1324517,1338677,1352642,1366418,1380004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Estimates,Iran(IslamicRepublicof),Country/Area,78492,79564,80674,81800,82914,83993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Estimates,Maldives,Country/Area,455,476,496,516,531,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Estimates,Nepal,Country/Area,27015,27263,27633,28096,28609,29137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Estimates,Pakistan,Country/Area,199427,203631,207906,212228,216565,220892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Estimates,SriLanka,Country/Area,20908,21021,21128,21229,21324,21413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Estimates,EASTERNANDSOUTH-EASTERNASIA,SDGregion,2279490,2294101,2308228,2321770,2334623,2346709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Estimates,EasternAsia,Subregion,1645184,1652635,1659768,1666471,1672611,1678090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Estimates,China,Country/Area,1406848,1414049,1421022,1427648,1433784,1439324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Estimates,"China,HongKongSAR",Country/Area,7186,7244,7306,7372,7436,7497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Estimates,"China,MacaoSAR",Country/Area,602,613,623,632,640,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Estimates,"China,TaiwanProvinceofChina",Country/Area,23557,23618,23675,23726,23774,23817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Estimates,Dem.People'sRepublicofKorea,Country/Area,25184,25308,25430,25550,25666,25779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Estimates,Japan,Country/Area,127985,127763,127503,127202,126860,126476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Estimates,Mongolia,Country/Area,2998,3056,3114,3170,3225,3278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Estimates,RepublicofKorea,Country/Area,50823,50983,51096,51172,51225,51269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Estimates,South-EasternAsia,Subregion,634306,641467,648460,655298,662012,668620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Estimates,BruneiDarussalam,Country/Area,415,420,424,429,433,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Estimates,Cambodia,Country/Area,15521,15766,16009,16250,16487,16719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Estimates,Indonesia,Country/Area,258383,261556,264651,267671,270626,273524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Estimates,LaoPeople'sDemocraticRepublic,Country/Area,6741,6846,6953,7061,7169,7276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Estimates,Malaysia,Country/Area,30271,30685,31105,31528,31950,32366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
